step,nav_state,reason,true_x,true_y,true_theta,est_x,est_y,est_theta,loc_err_xy_m,loc_err_theta_rad,v_cmd,w_cmd,front_min,left_min,right_min,pf_cluster_radius_m,kf_var_xy_mean,disagreement_xy_m,path_distance_m,path_index,track_stall_steps,goal_dist_true_m,goal_dist_est_m,pf_dominant_mass,pf_top_ratio,pf_hypothesis_count,ambiguity_active,ambiguity_counter,ambiguity_front_m,ambiguity_left_m,ambiguity_right_m,ambiguity_scan_change_m,path_revision,path_num_points,path_length_m,path_goal_x,path_goal_y,transition_reason,track_event,force_replan_reason,force_relocalize_reason,speed_limiter,base_v_cmd,base_w_cmd,align_active,align_target_heading,align_heading_error,ctrl_nearest_idx,ctrl_look_idx,ctrl_target_x,ctrl_target_y,ctrl_alpha,ctrl_curvature,ctrl_lookahead_dist,scan_mismatch_cost,scan_mismatch_counter,map_conflict_counter,scan_match_cost,scan_match_ema,path_distance_ema,pf_cluster_ema,disagreement_ema,scan_match_trend,path_distance_trend,localize_stable_counter,localize_cmd_distance_m,localize_cmd_turn_rad,localization_commit_state,ambiguity_clear_counter,clear_counter_effective,localize_contradiction_counter,localize_no_progress_counter,localize_trace_loop_counter,localize_trace_bbox_diag_m,localize_allow_global_reseed,reseed_attempt_count,reseed_success_count,reseed_last_score,post_reseed_hold_counter,commit_watchdog_counter,hard_path_dist_counter,disambiguation_goal_switches,path_quality_score,est_jump_m
1,globalize,fusion_disagreement_large,19.4,14.4,-1.36247250661889,18.2705765694982,14.8310866601841,0,1.20889742904647,1.36247250661889,0,-0.55,Inf,Inf,3.33592704735701,5.1888094632237,0.127450980392157,7.00040249151109,Inf,1,NaN,23.3212349587238,22.6886117651161,0.0704609254517538,1.39793714233347,4,0,0,Inf,Inf,3.33592704735701,0,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,NaN,NaN,5.1888094632237,7.00040249151109,0,0,0,0,0.055,search,0,1,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,globalize,fusion_disagreement_large,19.4000004360028,14.3999976167805,-1.41722821360364,18.6997225423288,14.4532223427939,-0.0550000000000002,0.70229765756954,1.36222821360364,0.08,-0.45,Inf,Inf,3.34224131144579,6.5289674367495,0.0886892712550607,18.2252575611469,Inf,1,NaN,23.3212338999645,22.7927998584678,0.0909107246478618,1.01161793166006,7,0,0,Inf,Inf,3.34224131144579,0.0780354073966918,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,NaN,NaN,5.43003789845834,9.02087640404554,0,0,0,0.008,0.1,search,0,2,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.571793414052266
3,globalize,fusion_disagreement_large,19.4010064610803,14.3924048923691,-1.46090193186342,18.8542043476952,14.3035966737954,-0.111643035636749,0.553967012455299,1.34925889622667,0,0.55,Inf,Inf,3.29173452027954,6.73340711797613,0.070774093825627,7.30538665968587,Inf,1,NaN,23.3175529733424,22.8255238311297,0.074119519913739,1.02750873881318,6,0,0,Inf,Inf,3.29173452027954,0.192113999867946,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,NaN,NaN,5.66464435797154,8.7120882500608,0,0,0,0.008,0.155,search,0,3,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.21506387193684
4,globalize,fusion_disagreement_large,19.4010010371004,14.392444389573,-1.40774660120452,19.0329598765416,14.3953227704821,-0.0493005029230904,0.368052416025399,1.35844609828143,0,0.55,Inf,Inf,3.38077650022731,6.48230804824269,0.0610492891450519,7.34251076296143,Inf,1,NaN,23.3175719627176,23.023573574751,0.0702264667959129,1.00740103795111,7,0,0,Inf,Inf,3.38077650022731,0.0890419799477673,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,NaN,NaN,5.81182382222035,8.46556430238291,0,0,0,0.008,0.21,search,0,4,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.20091594239017
5,globalize,fusion_disagreement_large,19.4010216062019,14.3923378367788,-1.35245457022883,19.0202199084431,14.4592879619312,0.00962935134959375,0.386642279470245,1.36208392157842,0,0.55,Inf,Inf,3.24032346696611,6.5293770667545,0.0553258419536819,7.44020948760331,Inf,1,NaN,23.3175255213908,23.0517757295861,0.0633640623151199,1.06232191902259,6,0,0,Inf,Inf,3.24032346696611,0.19732495272394,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,NaN,NaN,5.9409834062365,8.28100043572258,0,0,0,0.008,0.265,search,0,5,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0652215647181006
6,globalize,fusion_disagreement_large,19.4010296667316,14.3923056309517,-1.29865050362819,18.9556268235374,14.189724129015,0.0502604080049802,0.489308652746242,1.34891091163317,0,0.55,Inf,Inf,3.31978550364414,6.6309948834117,0.051792331278691,7.13848145433449,Inf,1,NaN,23.3175129708745,22.8387748793078,0.0802273442497948,1.02218629249886,6,0,0,Inf,Inf,3.31978550364414,0.0711049781478317,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,NaN,NaN,6.06518547212803,8.07534701907273,0,0,0,0.008,0.32,search,0,6,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.277194744961201
7,globalize,fusion_disagreement_large,19.4010453348123,14.3922549017854,-1.24381624663544,19.0509475469464,14.0294258965998,0.0984231855135862,0.504195743806476,1.34223943214902,0.08,0.45,Inf,Inf,3.15230588510793,6.5478242115145,0.0495460640348078,7.08717296238245,Inf,1,NaN,23.3174955978872,22.8207568956955,0.0847277374565748,1.08043447732958,6,0,0,Inf,Inf,3.15230588510793,0.16466911237595,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,NaN,NaN,6.1520604452176,7.89747568886848,0,0,0,0.016,0.365,search,0,7,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.186498159847921
8,globalize,fusion_disagreement_large,19.4038353504147,14.3846265542298,-1.19651550435424,19.1413604824383,14.0418484292041,0.144514576545417,0.43172896511045,1.34103008089965,0.11,0,Inf,Inf,3.2597510995803,6.53379116338642,0.0481250380548732,7.07769111543806,Inf,1,NaN,23.3152343570697,22.9012082155816,0.0882328457250616,1.076879528907,6,0,0,Inf,Inf,3.2597510995803,0.142153340476668,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,NaN,NaN,6.22077197448799,7.749914465651,0,0,0,0.027,0.365,search,0,8,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0912623592756969
9,globalize,fusion_disagreement_large,19.4078876367853,14.3743042193415,-1.19689951712266,19.129582749151,13.9821073356064,0.124024455308837,0.480907481843045,1.32092397243149,0,-0.55,Inf,Inf,3.17787530261448,6.67802435457661,0.0472656260082272,7.06856796423513,Inf,1,NaN,23.3124021517498,22.8566452831409,0.116600393329702,1.02928630582417,6,0,0,Inf,Inf,3.17787530261448,0.044420214090549,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,NaN,NaN,6.30307740290394,7.62727209539614,0,0,0,0.027,0.42,search,0,9,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0608909949469976
10,globalize,fusion_disagreement_large,19.4079030094111,14.3742616840368,-1.2510890780848,18.9849780667653,13.9886939186928,0.0755991266967317,0.572300627978242,1.32668820478153,0.08,0.45,Inf,Inf,3.18571125322985,6.57232762975187,0.0465928967064498,7.04306035972705,Inf,1,NaN,23.312389421759,22.743450559752,0.111609804336318,1.02009442586303,6,0,0,Inf,Inf,3.18571125322985,0.0769539150452607,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,NaN,NaN,6.35154244373657,7.52211398297571,0,0,0,0.035,0.465,search,0,10,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.144754610443446
11,globalize,fusion_disagreement_large,19.4105362055451,14.366863956043,-1.20657836438274,19.0249259451367,14.0295052038172,0.135040041425087,0.512353589462971,1.34161840580782,0,-0.55,Inf,Inf,3.19533983681959,6.66747238750367,0.0462416726105688,7.07495662173778,Inf,1,NaN,23.3101440476956,22.7997698695212,0.117917622419365,1.08618479400228,6,0,0,Inf,Inf,3.19533983681959,0.073896223719613,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,NaN,NaN,6.40840983361465,7.44162565795288,0,0,0,0.035,0.52,search,0,11,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.05710861563617
12,globalize,fusion_disagreement_large,19.4105244836189,14.3668974495403,-1.26170709559279,19.1917554493052,14.0616399264409,0.0851013670076299,0.37555564938278,1.34680846260042,0,0.55,Inf,Inf,3.22017727578287,6.54265182949138,0.0459127678844976,7.15982132088109,Inf,1,NaN,23.3101543696087,22.9536297825838,0.110854798201843,1.06838757294485,6,0,0,Inf,Inf,3.22017727578287,0.0897140128561513,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,NaN,NaN,6.43257339287246,7.39090087727996,0,0,0,0.035,0.575,search,0,12,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.169896214964322
13,globalize,fusion_disagreement_large,19.4105389877511,14.36685594235,-1.20753989514992,19.2872210693154,14.0628756457041,0.137965531697019,0.328041658568353,1.34550542684694,0,-0.55,Inf,Inf,3.21826736838121,6.56400498222661,0.0456933695462147,7.2026486670016,Inf,1,NaN,23.3101415599975,23.0317444399064,0.118117707908046,1.01176067463291,6,0,0,Inf,Inf,3.21826736838121,0.0445068271260971,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,NaN,NaN,6.45623107895621,7.35701547942986,0,0,0,0.035,0.63,search,0,13,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0954736173298103
14,globalize,fusion_disagreement_large,19.410525426426,14.3668947618628,-1.2618739563439,19.1769703054457,14.0951625893558,0.0922726195503456,0.358310435392875,1.35414657589424,0.11,0,Inf,Inf,3.2054330952357,6.55398135444656,0.0455467495458439,7.1921092059164,Inf,1,NaN,23.3101535430898,22.961342274409,0.0553110561305105,1.06868484640628,6,0,0,Inf,Inf,3.2054330952357,0.0275285158477565,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,NaN,NaN,6.47382612854447,7.32733235019744,0,0,0,0.046,0.63,search,0,14,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.114881145816972
15,globalize,fusion_disagreement_large,19.4138836254489,14.3564025392994,-1.26019388160199,19.2700645397793,14.0086882798704,0.054361929479271,0.376283318276446,1.31455581108126,0.11,0,Inf,Inf,3.17644085990084,6.6070710433291,0.0455672365652123,7.12883856203035,Inf,1,NaN,23.3066691720455,22.9861747862983,0.108654938380766,1.03474395990404,6,0,0,Inf,Inf,3.17644085990084,0.0295576057859461,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,NaN,NaN,6.4978102132057,7.29160346832736,0,0,0,0.057,0.63,search,0,15,0,0,0,Inf,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.127060389843339
